		 
		414			 |			Desimal Ke Biner			 |			110011110			 |		24-04-2020 12:55:37		 
		123			 |			Desimal Ke Biner			 |			01111011			 |		24-04-2020 12:55:37		 
		456			 |			Desimal Ke Biner			 |			111001000			 |		24-04-2020 12:55:37		 
		1001100101			 |			Biner Ke Desimal			 |			613			 |		24-04-2020 12:56:01		 
		110011110			 |			Biner Ke Desimal			 |			414			 |		24-04-2020 12:56:01		 
		01111011			 |			Biner Ke Desimal			 |			123			 |		24-04-2020 12:56:01		 
		111001000			 |			Biner Ke Desimal			 |			456			 |		24-04-2020 12:56:01		 
		613DA			 |			Desimal Ke Biner			 |			1001100101			 |		24-04-2020 01:01:25		 
					 |			Desimal Ke Biner			 |			00000000			 |		24-04-2020 01:01:25		 

		22			 |			Desimal Ke Biner			 |			00010110			 |		25-04-2020 04:23:32		
		22			 |			Desimal Ke Biner			 |			00010110			 |		25-04-2020 04:23:32		
		33			 |			Desimal Ke Biner			 |			00100001			 |		25-04-2020 04:23:45		
		44			 |			Desimal Ke Biner			 |			00101100			 |		25-04-2020 04:23:45		
